,Unnamed: 0,FILENAME,NOBS,BANDS,RA,DEC,BRIGHTEST,RISE_z,RISE_i,RISE_r,MAX_r-i,MIN_r-i,MAX_i-z,MIN_i-z,MAX_SNR_z,MAX_SNR_i,MAX_SNR_r,CUT_1,CUT_2,CUT_3,CCD,MAG_r,MAG_i,MAG_z,EXPNUM_1,EXPNUM_2,EXPNUM_3,EXPNUM_4
7931,7931,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010374.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,3.25952,3.25952,0.0,0.0,0.0,0.08605855310912171,1.10387786259542,True,True,False,-1,26.104669179192136,28.622351386612717,99.9,0,0,0,0
7932,7932,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010399.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-242.07999999999996,-242.07999999999996,198.749354005168,119.70928912105384,0.0,True,True,False,-1,99.9,20.695308656837057,20.284958273093046,0,0,0,0
7933,7933,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010404.DAT,4,ir,77.390969,6.614503,r,0.0,9.953000000000003,4.3599999999999985,25.59400000000001,20.001000000000005,0.0,0.0,0.0,23.99072449235397,31.304112554112553,True,True,True,-1,22.34166660262063,22.54773150082307,99.9,0,0,0,0
7934,7934,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010412.DAT,4,ir,77.390969,6.614503,i,0.0,-5.4994,-3.52118,-12.0858,-14.06402,0.0,0.0,0.0,3.7437785678009137,0.18766721945826426,True,True,False,-1,27.5,25.08539714022793,99.9,0,0,0,0
7935,7935,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010437.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,32.61999999999999,32.61999999999999,34.74263612020232,35.902427301129535,0.0,True,True,False,-1,99.9,22.064196181839897,22.33167179947958,0,0,0,0
7936,7936,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010440.DAT,4,iz,77.002256,5.893483,z,0.08610000000000008,0.3098000000000001,0.0,0.0,0.0,-2.1884999999999994,-2.4121999999999995,2.6285757853003964,1.6668221876620009,0.0,True,True,False,-1,99.9,25.47937125955089,25.161345201285066,0,0,0,0
7937,7937,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010444.DAT,4,iz,77.002256,5.893483,z,-6.380000000000052,-5.090000000000003,0.0,0.0,0.0,-211.25,-212.54,113.86889818688982,49.165829145728644,0.0,True,True,False,-1,99.9,21.79974972486269,20.98986708712127,0,0,0,0
7938,7938,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010447.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,10.624,10.624,7.108814589665654,8.313859692006844,0.0,True,True,False,-1,99.9,23.67091957398872,24.077517287086888,0,0,0,0
7939,7939,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010450.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-198.53000000000003,-198.53000000000003,145.77590884427562,79.1403877598692,0.0,True,True,False,-1,99.9,21.175141495853325,20.674397278483625,0,0,0,0
7940,7940,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010478.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-10.480999999999998,-10.480999999999998,8.328575766778012,4.15216858613085,0.0,True,True,False,-1,99.9,24.42739606706651,23.904593820817567,0,0,0,0
